agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Labor Department Wage and Hour Division,WHD,2012,"ABM Janitorial Services - South Central, Inc.",Abilene,,,TX,79601,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",686561,ABM Industries,US0009571003,771497,20170322,5103,0,5103,1677769,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561720: Janitorial Services,1677769,,20121220,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Kentucky Department of Workplace Standards,KY-DWS,2013,ABM JANITORIAL SERVICES NORTH CENTRAL INC,,,,KY,,overtime violation,,"Contained in data obtained on April 11, 2017 in response to an open records request. ",,2091975,ABM Industries,US0009571003,771497,20180506,7519,0,7519,,civil,,employment-related offenses,wage and hour violation,,,5620556,,20131113,state,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2014,ABM JANITORIAL SERVICES- NORTHEAST INC,BOSTON,,PARK STREET MBTA,MA,2114,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5541831,ABM Industries,US0009571003,771497,20220918,7000,0,7000,340119361,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM JANITORIAL SERVICES- NORTHEAST INC,20141205,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2015,ABM JANITORIAL SERVICES SOUTH CENTRAL INC,SPOKANE,,1520 W. 3RD AVE.,WA,99201,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5547947,ABM Industries,US0009571003,771497,20220918,6000,0,6000,340757186,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,ABM JANITORIAL SERVICES SOUTH CENTRAL INC,20150706,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2016,"ABM JANITORIAL SERVICES SOUTH CENTRAL, INC.",AUSTIN,,IH35 & MANOR RD,TX,78758,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5554910,ABM Industries,US0009571003,771497,20220918,5000,0,5000,341277903,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,"ABM JANITORIAL SERVICES SOUTH CENTRAL, INC.",20160225,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2010,"ABM JANITORIAL SERVICES SOUTH CENTRAL, INC.",SAN ANTONIO,,6000 NE LOOP 410,TX,78218,,561720,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5499643,ABM Industries,US0009571003,771497,20220918,5000,0,5000,314304379,civil,,safety-related offenses,workplace safety or health violation,,561720: Janitorial Services,,"ABM JANITORIAL SERVICES SOUTH CENTRAL, INC.",20101207,federal,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2016,"ABM Janitorial Services- South Central, Inc.",,,,CA,, ,,https://mycadir.force.com/s,"Status as of August 10, 2022: Closed - Satisfied",5189484,ABM Industries,US0009571003,771497,20220918,7557,0,7557,,civil,,employment-related offenses,wage and hour violation,,,J-37177,,20160822,state,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2010,"ABM Janitorial Services, Inc.",Cincinnati,,,OH,45203,,56172,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",700382,ABM Industries,US0009571003,771497,20170322,182542,0,182542,1585188,civil,,employment-related offenses,wage and hour violation,Service Contract Act,56172: Janitorial Services,1585188,,20101106,federal,agency action,,,,,ABM Industries,US0009571003,771497,
National Labor Relations Board,NLRB,2019,"ABM Janitorial Services, Inc.",Ny,,,NY,,,,Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.,,3418013,ABM Industries,US0009571003,771497,20200615,5692,0,5692,,civil,,employment-related offenses,labor relations violation,,,02-CA-213807,,20190717,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2010,"ABM Janitorial Services-Northwest, Inc.",Anchorage,,,AK,99503,,56172,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",699566,ABM Industries,US0009571003,771497,20170322,36350,0,36350,1589660,civil,,employment-related offenses,wage and hour violation,Service Contract Act,56172: Janitorial Services,1589660,,20101231,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2014,"ABM Janitorial Services-South Central, Inc",Houston,,,TX,77032,,561720,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",677500,ABM Industries,US0009571003,771497,20170322,20549,0,20549,1728455,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561720: Janitorial Services,1728455,,20140718,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Equal Employment Opportunity Commission,EEOC,2009,"ABM Janitorial Services-South Central, Inc.",,,,TX,,race,,https://www.eeoc.gov/eeoc/newsroom/release/archive/7-24-09.html,Description field shows type of discrimination that EEOC had alleged.,669960,ABM Industries,US0009571003,771497,20170321,46000,0,46000,,civil,,employment-related offenses,employment discrimination,,,,,20090724,federal,agency action,,,,,ABM Industries,US0009571003,771497,
National Labor Relations Board,NLRB,2010,ABM Lakeside,Chicago,,,IL,60601,back pay award in unfair labor practices case,561720,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,,736974,ABM Industries,US0009571003,771497,20170602,22115,0,22115,13-CA-45250-001,civil,,employment-related offenses,labor relations violation,,561720: Janitorial Services,13-CA-45250-001,,20100217,federal,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2021,"ABM Onsite Services - West, Inc.",,,,CA,,Janitorial Services,561720,https://mycadir.force.com/s,"Status as of August 10, 2022 as stated on website (may not reflect payment): Open",5181902,ABM Industries,US0009571003,771497,20220918,10405,0,10405,,civil,,employment-related offenses,wage and hour violation,,561720: Janitorial Services,J-83693,,20210914,state,agency action,,,,,ABM Industries,US0009571003,771497,
Occupational Safety & Health Administration,OSHA,2015,ABM ONSITE SERVICES WEST INC,SAN BERNARDINO,,891 HARRIMAN PL,CA,92408,,561612,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5550292,ABM Industries,US0009571003,771497,20220918,20700,0,20700,340938935,civil,,safety-related offenses,workplace safety or health violation,,561612: Security Guards and Patrol Services,,ABM ONSITE SERVICES WEST INC,20150922,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2016,"ABM Onsite Services--Midwest, Inc.",Cincinnati,,336 Gest Street,OH,45203,,561720,"February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",3410598,ABM Industries,US0009571003,771497,20200309,5005,0,5005,,civil,,employment-related offenses,wage and hour violation,Service Contract Act,561720: Janitorial Services,1789993,,20160806,federal,agency action,,,,,ABM Industries,US0009571003,771497,
Chicago (IL) Department of Business Affairs and Consumer Protection,IL-CDBACP,2014,ABM Parking Services,Chicago,,,IL,,,,https://www.chicago.gov/city/en/depts/bacp/provdrs/consumer/news/2014/mar/parkingticketschemepr.html,,3198174,ABM Industries,US0009571003,771497,20191124,45000,0,45000,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20140326,local,agency action,,,settlement,,ABM Industries,US0009571003,771497,
Federal Motor Carrier Safety Administration,FMCSA,2016,Abm Parking Services,Los Angeles,,,CA,,,,https://ai.fmcsa.dot.gov/SafetyProgram/spRptEnforcement.aspx?rpt=CLOSE,,3182446,ABM Industries,US0009571003,771497,20190323,15150,0,15150,,civil,,safety-related offenses,motor vehicle safety violation,,,CA-2016-0436-US1191,,20161115,federal,agency action,,,,,ABM Industries,US0009571003,771497,
California Labor Commissioner's Office,CA-LCO,2018,"ABM PARKING SERVICES, Inc.",Los Angeles,,,CA,90015, ,,https://mycadir.force.com/s,"Status as of August 10, 2022: Closed - Satisfied",5187749,ABM Industries,US0009571003,771497,20220918,8449,0,8449,,civil,,employment-related offenses,wage and hour violation,,,J-38430,,20180402,state,agency action,,,,,ABM Industries,US0009571003,771497,
Labor Department Wage and Hour Division,WHD,2010,ABM Security Services,Atlanta,,,GA,30309,,561612,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown.",702292,ABM Industries,US0009571003,771497,20170322,8912,0,8912,1588447,civil,,employment-related offenses,wage and hour violation,Fair Labor Standards Act,561612: Security Guards and Patrol Services,1588447,,20100714,federal,agency action,,,,,ABM Industries,US0009571003,771497,
